username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
karl_dizon16,,"This shit is fckin real. Covid, you are a fckin bitch!",0,0,0,1241131298871222272,https://twitter.com/karl_dizon16/status/1241131298871222272,52702420,2020-03-20 22:35:35+00:00,Fri Mar 20 22:35:35 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
DrLindaShelton,davematt88,My home health aid went shopping for me today outside Chicago & no TP or frozen vegetables etc Guess I'll use water & a rag due to a**h**es hoarding!! #Illinois #CookCounty #Coronavirus #Pandemic,0,0,0,1241131021921378304,https://twitter.com/DrLindaShelton/status/1241131021921378304,44983352,2020-03-20 22:34:29+00:00,Fri Mar 20 22:34:29 +0000 2020,#Illinois #CookCounty #Coronavirus #Pandemic,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
IsBimbo,,"March: This coronavirus shit is bad,2020 can’t get any worse April: ",1,10,2,1241130632308285443,https://twitter.com/IsBimbo/status/1241130632308285443,1050919067379556352,2020-03-20 22:32:56+00:00,Fri Mar 20 22:32:56 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
Zimmerino,,God I love my company. @MolsonCoors pledges $1 million to support bartenders affected by COVID-19 pandemic ,5,51,0,1241130561172918272,https://twitter.com/Zimmerino/status/1241130561172918272,28232449,2020-03-20 22:32:39+00:00,Fri Mar 20 22:32:39 +0000 2020,,@MolsonCoors,,https://www.molsoncoorsblog.com/molson-coors-pledges-1-million-support-bartenders-affected-covid-19-pandemic-miller-lite-encourages,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
3Beckham,,"#covid_19 #leadership thank you govpritzker chicagosmayor @Bronzeville, Chicago https://www.instagram.com/p/B9-OSNkJFN8/?igshid=17e8x44rbq7pd",0,0,0,1241129658906746885,https://twitter.com/3Beckham/status/1241129658906746885,334431875,2020-03-20 22:29:04+00:00,Fri Mar 20 22:29:04 +0000 2020,#covid_19 #leadership,,,https://www.instagram.com/p/B9-OSNkJFN8/?igshid=17e8x44rbq7pd,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
JacquiDHH,,Coronavirus: Trump invokes the Defense Production Act #Coronavirus https://twitter.com/i/events/1219057585707315201 @INTERPOL_TIGC @transportgovuk @USTradeRep @TFranceForum @CityPoliceFraud @canantifraud @chicagosDNAInfo @INTERPOL_SG @Tretower_Court @GoSnowdonia @StrataFlo @francaisJDH @SecCivileFrance,0,0,0,1241128522850107392,https://twitter.com/JacquiDHH/status/1241128522850107392,1069076419186184192,2020-03-20 22:24:33+00:00,Fri Mar 20 22:24:33 +0000 2020,#Coronavirus,@INTERPOL_TIGC @transportgovuk @USTradeRep @TFranceForum @CityPoliceFraud @canantifraud @chicagosDNAInfo @INTERPOL_SG @Tretower_Court @GoSnowdonia @StrataFlo @francaisJDH @SecCivileFrance,,https://twitter.com/i/events/1219057585707315201,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
tzakrison,,Sometimes the best way to care for your awesome SICU team is twice daily meditation and hot lunches. Please remember that many local restaurants are still open and struggling. And nice delivery folk appreciate great tips. #COVID19 @uchicagosurgery,1,25,0,1241128305346166784,https://twitter.com/tzakrison/status/1241128305346166784,1412766708,2020-03-20 22:23:41+00:00,Fri Mar 20 22:23:41 +0000 2020,#COVID19,@uchicagosurgery,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
jazzyc13,,Virtual happy hour with the team! #teamgroupon #covid_19 #virtualhappyhour @Montgomery Ward Park https://www.instagram.com/p/B9-NqOvjTo5/?igshid=b3bodw1dmasz,0,0,0,1241128284873797637,https://twitter.com/jazzyc13/status/1241128284873797637,45701175,2020-03-20 22:23:36+00:00,Fri Mar 20 22:23:36 +0000 2020,#teamgroupon #covid_19 #virtualhappyhour,,,https://www.instagram.com/p/B9-NqOvjTo5/?igshid=b3bodw1dmasz,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
jeni_crone,,"My #artpluschallenge response for Art + Community is dedicated to grocery store workers. My dad, stepmom and stepsister all hold those jobs and have been working long busy days. #essentialjobs #COVID19 #thankyou #community",1,4,0,1241128188119519233,https://twitter.com/jeni_crone/status/1241128188119519233,2284485344,2020-03-20 22:23:13+00:00,Fri Mar 20 22:23:13 +0000 2020,#artpluschallenge #essentialjobs #COVID19 #thankyou #thankyou #community,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
_justine_turner,,"I’m sheltering in place with my parents until at least April 7th. On Iowa Caucus day (coincidentally, also my birthday), I pledged to myself to spend quality time with my parents once the craziness of the campaign ended. Funny how life works, eh? #COVID19 ",1,4,0,1241127350655483905,https://twitter.com/_justine_turner/status/1241127350655483905,3293064532,2020-03-20 22:19:54+00:00,Fri Mar 20 22:19:54 +0000 2020,#COVID19,,,https://apple.news/ACn0d1q9ARI2ywMiPepKfSg,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
DroidRB,,"Now that the governor of Illinois ordered ""shelter in place"". The groceries stores are super empty now. I don't blame anyone. Since there is no longer take out or deliveries. Pics: Trader Joes Lincoln Park ",0,2,1,1241126740132585473,https://twitter.com/DroidRB/status/1241126740132585473,344217823,2020-03-20 22:17:28+00:00,Fri Mar 20 22:17:28 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19 OR Pritzker OR corona OR coronavirus OR gov OR governor OR capital,"('2020-03-18', '2020-03-22')"
