username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
_justine_turner,,"I’m sheltering in place with my parents until at least April 7th. On Iowa Caucus day (coincidentally, also my birthday), I pledged to myself to spend quality time with my parents once the craziness of the campaign ended. Funny how life works, eh? #COVID19 ",1,4,0,1241127350655483905,https://twitter.com/_justine_turner/status/1241127350655483905,3293064532,2020-03-20 22:19:54+00:00,Fri Mar 20 22:19:54 +0000 2020,#COVID19,,,https://apple.news/ACn0d1q9ARI2ywMiPepKfSg,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
edgarvlermamd,,Mitigating risk of #COVID19 in dialysis facilities ca. 2020 from @CJASN #CoronaKidney https://cjasn.asnjournals.org/content/early/2020/03/20/CJN.03340320,7,14,0,1241126606078435328,https://twitter.com/edgarvlermamd/status/1241126606078435328,83057568,2020-03-20 22:16:56+00:00,Fri Mar 20 22:16:56 +0000 2020,#COVID19 #CoronaKidney,@CJASN,,https://cjasn.asnjournals.org/content/early/2020/03/20/CJN.03340320,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
Normanjburt,,"Empty Bus Thoughts: Day 54 ••• ••• ••• #chicago #thewalkingdead #covid_19 #coronavírus #workfromwork #emptybus #workday #rewatch @Chicago, Illinois https://www.instagram.com/p/B9-Mu57pnak/?igshid=106q4coguj8h5",0,0,0,1241126250795720707,https://twitter.com/Normanjburt/status/1241126250795720707,384918937,2020-03-20 22:15:31+00:00,Fri Mar 20 22:15:31 +0000 2020,#chicago #thewalkingdead #covid_19 #coronav #workfromwork #emptybus #workday #rewatch,,,https://www.instagram.com/p/B9-Mu57pnak/?igshid=106q4coguj8h5,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
AnthonyHoffman,,"It may not have cured COVID-19, but least the celeb-filled Imagine video delivered some choice parodies @plopfictionally",0,0,0,1241125695658524674,https://twitter.com/AnthonyHoffman/status/1241125695658524674,30681641,2020-03-20 22:13:19+00:00,Fri Mar 20 22:13:19 +0000 2020,,@plopfictionally,,https://twitter.com/i/events/1241048027302748165,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
DMCREDI,GovPritzker,I work for for you and I am a PROUD SPSA of your team. This is how I believe you can garner and efficiently change the dynamic of the COVID19 in our communities.,0,0,0,1241124939169705989,https://twitter.com/DMCREDI/status/1241124939169705989,124759119,2020-03-20 22:10:19+00:00,Fri Mar 20 22:10:19 +0000 2020,,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
IndivisibleOP,,Gov. Pritzker issues Stay-at-Home Order through April 7 as #Covid_19 cases climb #Illinoiscoronavirus,0,0,0,1241123471159177216,https://twitter.com/IndivisibleOP/status/1241123471159177216,847253499301609473,2020-03-20 22:04:29+00:00,Fri Mar 20 22:04:29 +0000 2020,#Covid_19 #Illinoiscoronavirus,,,https://news.wttw.com/2020/03/20/gov-pritzker-issues-stay-home-order-through-april-7-covid-19-cases-climb#.XnU9mVzakTw.twitter,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
Ralph30309,,"This is how we're getting though social distancing. #covid_19 #socialdistancing @Chicago, Illinois https://www.instagram.com/p/B9-LInhB4IW/?igshid=1kwhq5k2xotzt",0,0,0,1241122736438571008,https://twitter.com/Ralph30309/status/1241122736438571008,97355950,2020-03-20 22:01:33+00:00,Fri Mar 20 22:01:33 +0000 2020,#covid_19 #socialdistancing,,,https://www.instagram.com/p/B9-LInhB4IW/?igshid=1kwhq5k2xotzt,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
Logan33dc,,"Hydration during this crazy time is very important, the novel #coronavirus or #Covid_19 pandemic is here &amp; the only way to kill it Stay in for 2 weeks ""if"" you can because a stay at home order has been issued for Illinois residents. #CoronaCrisis #Chicago #CraftBeer",0,1,0,1241122384679141377,https://twitter.com/Logan33dc/status/1241122384679141377,713876515985891328,2020-03-20 22:00:10+00:00,Fri Mar 20 22:00:10 +0000 2020,#coronavirus #Covid_19 #CoronaCrisis #Chicago #CraftBeer,,,,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,hashtags,mentions,geo,urls,city,query,date_range
BerwynLocal506,,"Governor Pritzker is enacting a “Stay at Home” Order on Saturday, March 21st beginning at 5pm. If you are concerned and experiencing “flu-like symptoms” with NO other medical issues, please call Loyola’s COVID-19… https://www.instagram.com/p/B9-KjphBEfs/?igshid=1blvismerfr76",0,3,0,1241121468378832897,https://twitter.com/BerwynLocal506/status/1241121468378832897,2693763445,2020-03-20 21:56:31+00:00,Fri Mar 20 21:56:31 +0000 2020,,,,https://www.instagram.com/p/B9-KjphBEfs/?igshid=1blvismerfr76,chicago,covid OR COVID-19 OR covid19,"('2020-03-18', '2020-03-22')"
